1,2008-01-01,2008-01-08,2,2008-01-04,2008-01-11,18,18,15,83.3333333333,80.4347826087,9
2,2008-01-04,2008-01-11,3,2008-01-07,2008-01-14,18,16,10,55.5555555556,39.6226415094,32
3,2008-01-07,2008-01-14,4,2008-01-10,2008-01-17,16,16,11,68.75,62.5,15
4,2008-01-10,2008-01-17,5,2008-01-13,2008-01-20,16,17,12,75.0,73.8095238095,11
5,2008-01-13,2008-01-20,6,2008-01-16,2008-01-23,17,17,13,76.4705882353,58.3333333333,20
6,2008-01-16,2008-01-23,7,2008-01-19,2008-01-26,17,20,13,76.4705882353,61.8181818182,21
7,2008-01-19,2008-01-26,8,2008-01-22,2008-01-29,20,19,15,75.0,63.6363636364,28
8,2008-01-22,2008-01-29,9,2008-01-25,2008-02-01,19,17,14,73.6842105263,50.7692307692,32
9,2008-01-25,2008-02-01,10,2008-01-28,2008-02-04,17,12,10,58.8235294118,51.0204081633,24
10,2008-01-28,2008-02-04,11,2008-01-31,2008-02-07,12,13,6,50.0,33.3333333333,24
11,2008-01-31,2008-02-07,12,2008-02-03,2008-02-10,13,14,10,76.9230769231,65.0,14
12,2008-02-03,2008-02-10,13,2008-02-06,2008-02-13,14,16,8,57.1428571429,41.0256410256,23
13,2008-02-06,2008-02-13,14,2008-02-09,2008-02-16,16,15,11,68.75,69.7674418605,13
14,2008-02-09,2008-02-16,15,2008-02-12,2008-02-19,15,17,9,60.0,37.2093023256,27
15,2008-02-12,2008-02-19,16,2008-02-15,2008-02-22,17,17,9,52.9411764706,51.0204081633,24
16,2008-02-15,2008-02-22,17,2008-02-18,2008-02-25,17,16,9,52.9411764706,48.9795918367,25
17,2008-02-18,2008-02-25,18,2008-02-21,2008-02-28,16,13,10,62.5,37.9310344828,36
18,2008-02-21,2008-02-28,19,2008-02-24,2008-03-02,13,14,9,69.2307692308,53.3333333333,14
19,2008-02-24,2008-03-02,20,2008-02-27,2008-03-05,14,14,11,78.5714285714,71.4285714286,8
20,2008-02-27,2008-03-05,21,2008-03-01,2008-03-08,14,20,10,71.4285714286,71.7948717949,11
21,2008-03-01,2008-03-08,22,2008-03-04,2008-03-11,20,19,11,55.0,40.2985074627,40
22,2008-03-04,2008-03-11,23,2008-03-07,2008-03-14,19,19,13,68.4210526316,47.5409836066,32
23,2008-03-07,2008-03-14,24,2008-03-10,2008-03-17,19,18,12,63.1578947368,50.8771929825,28
24,2008-03-10,2008-03-17,25,2008-03-13,2008-03-20,18,18,12,66.6666666667,54.7169811321,24
25,2008-03-13,2008-03-20,26,2008-03-16,2008-03-23,18,12,9,50.0,31.4814814815,37
26,2008-03-16,2008-03-23,27,2008-03-19,2008-03-26,12,16,9,75.0,64.2857142857,10
27,2008-03-19,2008-03-26,28,2008-03-22,2008-03-29,16,20,10,62.5,57.7777777778,19
28,2008-03-22,2008-03-29,29,2008-03-25,2008-04-01,20,15,14,70.0,60.3174603175,25
29,2008-03-25,2008-04-01,30,2008-03-28,2008-04-04,15,13,7,46.6666666667,31.25,33
30,2008-03-28,2008-04-04,31,2008-03-31,2008-04-07,13,14,5,38.4615384615,23.3333333333,23
31,2008-03-31,2008-04-07,32,2008-04-03,2008-04-10,14,16,11,78.5714285714,60.4651162791,17
32,2008-04-03,2008-04-10,33,2008-04-06,2008-04-13,16,17,9,56.25,37.2093023256,27
33,2008-04-06,2008-04-13,34,2008-04-09,2008-04-16,17,18,11,64.7058823529,64.0,18
34,2008-04-09,2008-04-16,35,2008-04-12,2008-04-19,18,13,8,44.4444444444,35.4838709677,40
35,2008-04-12,2008-04-19,36,2008-04-15,2008-04-22,13,12,8,61.5384615385,39.0243902439,25
36,2008-04-15,2008-04-22,37,2008-04-18,2008-04-25,12,9,8,66.6666666667,46.875,17
37,2008-04-18,2008-04-25,38,2008-04-21,2008-04-28,9,6,5,55.5555555556,36.8421052632,12
38,2008-04-21,2008-04-28,39,2008-04-24,2008-05-01,6,12,6,100.0,92.3076923077,1
39,2008-04-24,2008-05-01,40,2008-04-27,2008-05-04,12,11,8,66.6666666667,62.8571428571,13
40,2008-04-27,2008-05-04,41,2008-04-30,2008-05-07,11,16,10,90.9090909091,91.4285714286,3
