1,2008-01-01,2008-01-08,2,2008-01-04,2008-01-11,20,20,14,70.0,60.0,30
2,2008-01-04,2008-01-11,3,2008-01-07,2008-01-14,20,20,15,75.0,47.191011236,47
3,2008-01-07,2008-01-14,4,2008-01-10,2008-01-17,20,20,15,75.0,63.0769230769,24
4,2008-01-10,2008-01-17,5,2008-01-13,2008-01-20,20,19,14,70.0,60.8695652174,27
5,2008-01-13,2008-01-20,6,2008-01-16,2008-01-23,19,19,14,73.6842105263,59.0909090909,27
6,2008-01-16,2008-01-23,7,2008-01-19,2008-01-26,19,19,15,78.9473684211,72.8571428571,19
7,2008-01-19,2008-01-26,8,2008-01-22,2008-01-29,19,20,16,84.2105263158,71.2643678161,25
8,2008-01-22,2008-01-29,9,2008-01-25,2008-02-01,20,19,15,75.0,51.8518518519,39
9,2008-01-25,2008-02-01,10,2008-01-28,2008-02-04,19,20,14,73.6842105263,61.4285714286,27
10,2008-01-28,2008-02-04,11,2008-01-31,2008-02-07,20,19,15,75.0,52.808988764,42
11,2008-01-31,2008-02-07,12,2008-02-03,2008-02-10,19,18,13,68.4210526316,46.4646464646,53
12,2008-02-03,2008-02-10,13,2008-02-06,2008-02-13,18,19,14,77.7777777778,64.5569620253,28
13,2008-02-06,2008-02-13,14,2008-02-09,2008-02-16,19,20,12,63.1578947368,37.5,55
14,2008-02-09,2008-02-16,15,2008-02-12,2008-02-19,20,20,17,85.0,64.2857142857,25
15,2008-02-12,2008-02-19,16,2008-02-15,2008-02-22,20,20,14,70.0,42.0289855072,40
16,2008-02-15,2008-02-22,17,2008-02-18,2008-02-25,20,18,15,75.0,64.7887323944,25
17,2008-02-18,2008-02-25,18,2008-02-21,2008-02-28,18,19,13,72.2222222222,74.2857142857,18
18,2008-02-21,2008-02-28,19,2008-02-24,2008-03-02,19,19,16,84.2105263158,63.3802816901,26
19,2008-02-24,2008-03-02,20,2008-02-27,2008-03-05,19,18,11,57.8947368421,43.75,36
20,2008-02-27,2008-03-05,21,2008-03-01,2008-03-08,18,20,14,77.7777777778,68.115942029,22
21,2008-03-01,2008-03-08,22,2008-03-04,2008-03-11,20,18,15,75.0,60.2150537634,37
22,2008-03-04,2008-03-11,23,2008-03-07,2008-03-14,18,18,9,50.0,22.2222222222,63
23,2008-03-07,2008-03-14,24,2008-03-10,2008-03-17,18,20,12,66.6666666667,57.4074074074,23
24,2008-03-10,2008-03-17,25,2008-03-13,2008-03-20,20,20,14,70.0,66.6666666667,24
25,2008-03-13,2008-03-20,26,2008-03-16,2008-03-23,20,20,15,75.0,54.6296296296,49
26,2008-03-16,2008-03-23,27,2008-03-19,2008-03-26,20,19,13,65.0,40.2173913043,55
27,2008-03-19,2008-03-26,28,2008-03-22,2008-03-29,19,20,16,84.2105263158,77.1428571429,16
28,2008-03-22,2008-03-29,29,2008-03-25,2008-04-01,20,19,16,80.0,61.4457831325,32
29,2008-03-25,2008-04-01,30,2008-03-28,2008-04-04,19,20,13,68.4210526316,48.0519480519,40
30,2008-03-28,2008-04-04,31,2008-03-31,2008-04-07,20,20,15,75.0,55.2631578947,34
31,2008-03-31,2008-04-07,32,2008-04-03,2008-04-10,20,18,11,55.0,33.8028169014,47
32,2008-04-03,2008-04-10,33,2008-04-06,2008-04-13,18,18,10,55.5555555556,34.5454545455,36
33,2008-04-06,2008-04-13,34,2008-04-09,2008-04-16,18,19,12,66.6666666667,52.1739130435,33
34,2008-04-09,2008-04-16,35,2008-04-12,2008-04-19,19,18,12,63.1578947368,56.7567567568,32
35,2008-04-12,2008-04-19,36,2008-04-15,2008-04-22,18,18,11,61.1111111111,37.3134328358,42
36,2008-04-15,2008-04-22,37,2008-04-18,2008-04-25,18,20,14,77.7777777778,50.8771929825,28
37,2008-04-18,2008-04-25,38,2008-04-21,2008-04-28,20,18,12,60.0,40.0,42
