1,2008-01-01 - 2008-01-08,2,2008-01-04 - 2008-01-11,0,5,2,76.1904761905,77.7777777778
2,2008-01-04 - 2008-01-11,3,2008-01-07 - 2008-01-14,0,15,2,55.8823529412,80.0
3,2008-01-07 - 2008-01-14,4,2008-01-10 - 2008-01-17,0,17,4,43.3333333333,60.0
4,2008-01-10 - 2008-01-17,5,2008-01-13 - 2008-01-20,0,7,2,75.8620689655,80.0
5,2008-01-13 - 2008-01-20,6,2008-01-16 - 2008-01-23,0,12,1,61.2903225806,88.8888888889
6,2008-01-16 - 2008-01-23,7,2008-01-19 - 2008-01-26,0,12,2,63.6363636364,80.0
7,2008-01-19 - 2008-01-26,8,2008-01-22 - 2008-01-29,0,9,1,73.5294117647,90.0
8,2008-01-22 - 2008-01-29,9,2008-01-25 - 2008-02-01,0,12,3,58.6206896552,70.0
9,2008-01-25 - 2008-02-01,10,2008-01-28 - 2008-02-04,0,7,1,75.0,88.8888888889
10,2008-01-28 - 2008-02-04,11,2008-01-31 - 2008-02-07,0,16,3,40.7407407407,66.6666666667
11,2008-01-31 - 2008-02-07,12,2008-02-03 - 2008-02-10,0,22,3,45.0,70.0
12,2008-02-03 - 2008-02-10,13,2008-02-06 - 2008-02-13,0,12,2,64.7058823529,80.0
13,2008-02-06 - 2008-02-13,14,2008-02-09 - 2008-02-16,0,12,2,62.5,80.0
14,2008-02-09 - 2008-02-16,15,2008-02-12 - 2008-02-19,0,7,2,68.1818181818,77.7777777778
15,2008-02-12 - 2008-02-19,16,2008-02-15 - 2008-02-22,0,10,3,61.5384615385,66.6666666667
16,2008-02-15 - 2008-02-22,17,2008-02-18 - 2008-02-25,0,5,1,82.7586206897,88.8888888889
17,2008-02-18 - 2008-02-25,18,2008-02-21 - 2008-02-28,0,24,4,31.4285714286,55.5555555556
18,2008-02-21 - 2008-02-28,19,2008-02-24 - 2008-03-02,0,19,4,34.4827586207,60.0
