1,2008-1,2,2008-2,19,20,14,73.6842105263,54.6666666667,34
2,2008-2,3,2008-3,20,20,12,60.0,29.8969072165,68
3,2008-3,4,2008-4,20,20,10,50.0,22.4719101124,69
4,2008-4,5,2008-5,20,19,11,55.0,27.6315789474,55
5,2008-5,6,2008-6,19,19,9,47.3684210526,21.1538461538,82
6,2008-6,7,2008-7,19,18,9,47.3684210526,23.6111111111,55
7,2008-7,8,2008-8,18,20,8,44.4444444444,23.0769230769,60
8,2008-8,9,2008-9,20,20,9,45.0,21.4953271028,84
9,2008-9,10,2008-10,20,20,15,75.0,48.8372093023,44
10,2008-10,11,2008-11,20,20,13,65.0,42.2680412371,56
11,2008-11,12,2008-12,20,20,9,45.0,28.5714285714,70
12,2008-12,13,2009-1,20,20,10,50.0,21.359223301,81
13,2009-1,14,2009-2,20,19,9,45.0,27.868852459,44
14,2009-2,15,2009-3,19,19,13,68.4210526316,36.0824742268,62
15,2009-3,16,2009-4,19,19,12,63.1578947368,29.3333333333,53
16,2009-4,17,2009-5,19,20,12,63.1578947368,38.6666666667,46
17,2009-5,18,2009-6,20,20,14,70.0,44.4444444444,60
18,2009-6,19,2009-7,20,20,13,65.0,42.6229508197,70
19,2009-7,20,2009-8,20,19,9,45.0,21.0526315789,105
20,2009-8,21,2009-9,19,20,10,52.6315789474,36.2745098039,65
21,2009-9,22,2009-10,20,20,9,45.0,24.0,114
22,2009-10,23,2009-11,20,20,13,65.0,49.6402877698,70
23,2009-11,24,2009-12,20,20,11,55.0,25.8064516129,115
24,2009-12,25,2010-1,20,20,15,75.0,45.7364341085,70
25,2010-1,26,2010-2,20,18,11,55.0,32.0,102
26,2010-2,27,2010-3,18,20,11,61.1111111111,26.5486725664,83
27,2010-3,28,2010-4,20,20,12,60.0,31.9727891156,100
28,2010-4,29,2010-5,20,20,13,65.0,29.9319727891,103
29,2010-5,30,2010-6,20,20,13,65.0,39.1304347826,84
30,2010-6,31,2010-7,20,19,12,60.0,22.5165562914,117
31,2010-7,32,2010-8,19,20,13,68.4210526316,38.28125,79
32,2010-8,33,2010-9,20,20,11,55.0,26.3157894737,112
33,2010-9,34,2010-10,20,20,13,65.0,34.2105263158,100
34,2010-10,35,2010-11,20,20,12,60.0,26.8292682927,90
35,2010-11,36,2010-12,20,19,12,60.0,40.0,66
36,2010-12,37,2011-1,19,19,11,57.8947368421,25.5474452555,102
37,2011-1,38,2011-2,19,18,12,63.1578947368,24.7311827957,70
38,2011-2,39,2011-3,18,20,13,72.2222222222,34.7826086957,60
39,2011-3,40,2011-4,20,20,13,65.0,37.3913043478,72
40,2011-4,41,2011-5,20,19,12,60.0,20.4545454545,105
41,2011-5,42,2011-6,19,20,9,47.3684210526,22.5352112676,55
42,2011-6,43,2011-7,20,17,11,55.0,19.8347107438,97
43,2011-7,44,2011-8,17,20,9,52.9411764706,19.6721311475,49
44,2011-8,45,2011-9,20,18,12,60.0,24.7524752475,76
45,2011-9,46,2011-10,18,20,11,61.1111111111,28.2608695652,66
46,2011-10,47,2011-11,20,18,14,70.0,27.5590551181,92
47,2011-11,48,2011-12,18,20,10,55.5555555556,28.7878787879,47
48,2011-12,49,2012-1,20,20,14,70.0,43.2,71
49,2012-1,50,2012-2,20,20,10,50.0,16.875,133
50,2012-2,51,2012-3,20,19,14,70.0,52.7777777778,51
51,2012-3,52,2012-4,19,19,12,63.1578947368,35.2,81
52,2012-4,53,2012-5,19,19,11,57.8947368421,34.2857142857,69
53,2012-5,54,2012-6,19,20,11,57.8947368421,37.8640776699,64
54,2012-6,55,2012-7,20,19,11,55.0,48.3870967742,64
55,2012-7,56,2012-8,19,20,13,68.4210526316,58.3941605839,57
56,2012-8,57,2012-9,20,20,14,70.0,43.949044586,88
57,2012-9,58,2012-10,20,20,12,60.0,38.8888888889,88
58,2012-10,59,2012-11,20,20,13,65.0,45.9459459459,80
59,2012-11,60,2012-12,20,20,13,65.0,39.8843930636,104
60,2012-12,61,2013-1,20,20,15,75.0,51.9230769231,75
61,2013-1,62,2013-2,20,20,15,75.0,53.6585365854,57
62,2013-2,63,2013-3,20,19,14,70.0,59.3220338983,48
63,2013-3,64,2013-4,19,20,15,78.9473684211,61.8644067797,45
64,2013-4,65,2013-5,20,19,15,75.0,48.5915492958,73
65,2013-5,66,2013-6,19,19,9,47.3684210526,21.8045112782,104
