1,2008-01-01,2008-01-08,2,2008-01-04,2008-01-11,8,10,7,87.5,73.6842105263,5
2,2008-01-04,2008-01-11,3,2008-01-07,2008-01-14,10,9,6,60.0,54.5454545455,10
3,2008-01-07,2008-01-14,4,2008-01-10,2008-01-17,9,9,6,66.6666666667,61.9047619048,8
4,2008-01-10,2008-01-17,5,2008-01-13,2008-01-20,9,7,5,55.5555555556,52.0,12
5,2008-01-13,2008-01-20,6,2008-01-16,2008-01-23,7,9,7,100.0,77.7777777778,4
6,2008-01-16,2008-01-23,7,2008-01-19,2008-01-26,9,8,6,66.6666666667,57.1428571429,9
7,2008-01-19,2008-01-26,8,2008-01-22,2008-01-29,8,10,6,75.0,62.5,9
8,2008-01-22,2008-01-29,9,2008-01-25,2008-02-01,10,9,9,90.0,80.0,5
9,2008-01-25,2008-02-01,10,2008-01-28,2008-02-04,9,9,7,77.7777777778,72.0,7
10,2008-01-28,2008-02-04,11,2008-01-31,2008-02-07,9,6,4,44.4444444444,27.5862068966,21
11,2008-01-31,2008-02-07,12,2008-02-03,2008-02-10,6,8,5,83.3333333333,70.5882352941,5
12,2008-02-03,2008-02-10,13,2008-02-06,2008-02-13,8,7,5,62.5,45.8333333333,13
13,2008-02-06,2008-02-13,14,2008-02-09,2008-02-16,7,6,4,57.1428571429,55.5555555556,8
14,2008-02-09,2008-02-16,15,2008-02-12,2008-02-19,6,7,3,50.0,42.8571428571,8
15,2008-02-12,2008-02-19,16,2008-02-15,2008-02-22,7,8,6,85.7142857143,88.8888888889,2
16,2008-02-15,2008-02-22,17,2008-02-18,2008-02-25,8,7,6,75.0,70.8333333333,7
17,2008-02-18,2008-02-25,18,2008-02-21,2008-02-28,7,6,4,57.1428571429,36.8421052632,12
18,2008-02-21,2008-02-28,19,2008-02-24,2008-03-02,6,8,5,83.3333333333,81.8181818182,2
19,2008-02-24,2008-03-02,20,2008-02-27,2008-03-05,8,7,4,50.0,40.0,9
20,2008-02-27,2008-03-05,21,2008-03-01,2008-03-08,7,10,7,100.0,100.0,0
21,2008-03-01,2008-03-08,22,2008-03-04,2008-03-11,10,10,6,60.0,45.8333333333,13
22,2008-03-04,2008-03-11,23,2008-03-07,2008-03-14,10,8,5,50.0,21.4285714286,22
23,2008-03-07,2008-03-14,24,2008-03-10,2008-03-17,8,9,7,87.5,88.8888888889,2
24,2008-03-10,2008-03-17,25,2008-03-13,2008-03-20,9,9,7,77.7777777778,62.5,9
25,2008-03-13,2008-03-20,26,2008-03-16,2008-03-23,9,4,3,33.3333333333,22.7272727273,17
26,2008-03-16,2008-03-23,27,2008-03-19,2008-03-26,4,8,3,75.0,75.0,2
27,2008-03-19,2008-03-26,28,2008-03-22,2008-03-29,8,10,6,75.0,56.5217391304,10
28,2008-03-22,2008-03-29,29,2008-03-25,2008-04-01,10,5,4,40.0,25.9259259259,20
29,2008-03-25,2008-04-01,30,2008-03-28,2008-04-04,5,4,0,0.0,0.0,10
